Metrics,Proposed AI Model (NCCT),Non-gated Agatston Score (NCCT),Gated Agatston Score (Dedicated CSCT),Comparison with Non-gated Score,Comparison with Gated Score
External Validation Cohorts
AUC,0.848 (0.817 - 0.874),0.824 (0.794 - 0.853),0.868 (0.842 - 0.894),p = 0.045088 (p < 0.05),p = 0.0457172 (p < 0.05)
Sensitivity (%),81.8 (77.6 - 85.6),40.6 (35.4 - 45.9),57.9 (52.9 - 63.8),p = 1.71235e-37 (p < 0.05),p = 3.01885e-20 (p < 0.05)
Specificity (%),74.1 (69.5 - 78.4),97.1 (95.5 - 98.6),92.3 (89.7 - 94.8),p = 2.52435e-29 (p < 0.05),p = 5.36178e-21 (p < 0.05)
NPV (%),83.7 (80.3 - 87.2),67.4 (64.1 - 71.0),73.5 (70.2 - 77.3),Delta +16.4 pp (+13.0 to +19.7); p = 9.999e-05 (p < 0.05),Delta +10.3 pp (+7.2 to +13.3); p = 9.999e-05 (p < 0.05)
Prospective Cohort
AUC,0.886 (0.841 - 0.926),0.857 (0.814 - 0.901),0.898 (0.858 - 0.934),p = 0.0727101 (ns),p = 0.321406 (ns)
Sensitivity (%),84.3 (77.1 - 91.1),60.2 (51.0 - 69.9),75.9 (67.6 - 83.5),p = 2.98023e-08 (p < 0.05),p = 0.00390625 (p < 0.05)
Specificity (%),75.5 (70.5 - 80.3),94.4 (91.5 - 96.8),91.7 (88.8 - 94.9),p = 3.91866e-14 (p < 0.05),p = 3.17968e-13 (p < 0.05)
NPV (%),93.1 (89.8 - 96.1),86.9 (83.2 - 90.6),91.4 (88.3 - 94.4),Delta +6.2 pp (+3.4 to +9.2); p = 0.00019998 (p < 0.05),Delta +1.6 pp (-0.1 to +3.7); p = 0.0911909 (ns)
